Ordered Speaker Choices
Speaker,AI Choices,Real Picked
1,"playht.wav, real.wav, speaker_fixed1.wav, resemble.wav, elevenlabs.mp3",playht.wav
2,"speaker_fixed1.wav, playht.wav, real.wav, elevenlabs.mp3, resemble.wav",speaker_fixed1.wav
3,"playht.wav, elevenlabs.mp3, real.wav, speaker_fixed1.wav, resemble.wav",playht.wav
4,"playht.wav, elevenlabs.mp3, real.wav, speaker_fixed1.wav, resemble.wav",playht.wav
5,"real.wav, resemble.wav, elevenlabs.mp3, speaker_fixed1.wav, playht.wav",real.wav
6,"real.wav, elevenlabs.mp3, speaker_fixed1.wav, playht.wav, resemble.wav",real.wav
7,"resemble.wav, playht.wav, elevenlabs.mp3, real.wav, speaker_fixed1.wav",resemble.wav
8,"elevenlabs.mp3, resemble.wav, speaker_fixed1.wav, playht.wav, real.wav",elevenlabs.mp3
9,"elevenlabs.mp3, real.wav, speaker_fixed1.wav, playht.wav, resemble.wav",elevenlabs.mp3
10,"elevenlabs.mp3, playht.wav, speaker_fixed1.wav, real.wav, resemble.wav",elevenlabs.mp3
11,"real.wav, speaker_fixed1.wav, playht.wav, elevenlabs.mp3, resemble.wav",real.wav
12,"playht.wav, elevenlabs.mp3, speaker_fixed1.wav, real.wav, resemble.wav",playht.wav
13,"elevenlabs.mp3, playht.wav, resemble.wav, speaker_fixed1.wav, real.wav",elevenlabs.mp3
14,"real.wav, playht.wav, elevenlabs.mp3, resemble.wav, speaker_fixed1.wav",real.wav
15,"real.wav, speaker_fixed1.wav, resemble.wav, elevenlabs.mp3, playht.wav",real.wav
16,"playht.wav, elevenlabs.mp3, real.wav, resemble.wav, speaker_fixed1.wav",playht.wav


Most Chosen AI Voices
AI Choice,Times Picked
playht.wav,5
real.wav,5
elevenlabs.mp3,4
speaker_fixed1.wav,1
resemble.wav,1
