Ordered Speaker Choices
Speaker,AI Choices,Real Picked
1,"speaker_fixed1.wav, elevenlabs.mp3, playht.wav, resemble.wav, real.wav",speaker_fixed1.wav
2,"speaker_fixed1.wav, real.wav, elevenlabs.mp3, resemble.wav, playht.wav",speaker_fixed1.wav
3,"speaker_fixed1.wav, elevenlabs.mp3, playht.wav, resemble.wav, real.wav",speaker_fixed1.wav
4,"real.wav, elevenlabs.mp3, playht.wav, speaker_fixed1.wav, resemble.wav",real.wav
5,"speaker_fixed1.wav, elevenlabs.mp3, playht.wav, resemble.wav, real.wav",speaker_fixed1.wav
6,"real.wav, elevenlabs.mp3, speaker_fixed1.wav, resemble.wav, playht.wav",real.wav
7,"playht.wav, elevenlabs.mp3, real.wav, speaker_fixed1.wav, resemble.wav",playht.wav
8,"elevenlabs.mp3, playht.wav, speaker_fixed1.wav, resemble.wav, real.wav",elevenlabs.mp3
9,"real.wav, elevenlabs.mp3, speaker_fixed1.wav, resemble.wav, playht.wav",real.wav
10,"elevenlabs.mp3, speaker_fixed1.wav, real.wav, playht.wav, resemble.wav",elevenlabs.mp3
11,"speaker_fixed1.wav, playht.wav, elevenlabs.mp3, resemble.wav, real.wav",speaker_fixed1.wav
12,"playht.wav, speaker_fixed1.wav, elevenlabs.mp3, resemble.wav, real.wav",playht.wav
13,"elevenlabs.mp3, real.wav, resemble.wav, playht.wav, speaker_fixed1.wav",elevenlabs.mp3
14,"elevenlabs.mp3, real.wav, resemble.wav, playht.wav, speaker_fixed1.wav",elevenlabs.mp3
15,"playht.wav, elevenlabs.mp3, resemble.wav, real.wav, speaker_fixed1.wav",playht.wav
16,"elevenlabs.mp3, speaker_fixed1.wav, playht.wav, real.wav, resemble.wav",elevenlabs.mp3


Most Chosen AI Voices
AI Choice,Times Picked
speaker_fixed1.wav,5
elevenlabs.mp3,5
real.wav,3
playht.wav,3
