Ordered Speaker Choices
Speaker,AI Choices,Real Picked
1,"elevenlabs.mp3, playht.wav, real.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
2,"playht.wav, real.wav, elevenlabs.mp3, resemble.wav, speaker_fixed1.wav",playht.wav
3,"resemble.wav, playht.wav, speaker_fixed1.wav, elevenlabs.mp3, real.wav",resemble.wav
4,"resemble.wav, playht.wav, elevenlabs.mp3, real.wav, speaker_fixed1.wav",resemble.wav
5,"elevenlabs.mp3, resemble.wav, speaker_fixed1.wav, real.wav, playht.wav",elevenlabs.mp3
6,"elevenlabs.mp3, playht.wav, real.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
7,"elevenlabs.mp3, playht.wav, real.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
8,"real.wav, elevenlabs.mp3, playht.wav, speaker_fixed1.wav, resemble.wav",real.wav
9,"elevenlabs.mp3, real.wav, playht.wav, speaker_fixed1.wav, resemble.wav",elevenlabs.mp3
10,"real.wav, resemble.wav, playht.wav, elevenlabs.mp3, speaker_fixed1.wav",real.wav
11,"playht.wav, speaker_fixed1.wav, elevenlabs.mp3, resemble.wav, real.wav",playht.wav
12,"elevenlabs.mp3, real.wav, speaker_fixed1.wav, resemble.wav, playht.wav",elevenlabs.mp3
13,"resemble.wav, elevenlabs.mp3, speaker_fixed1.wav, playht.wav, real.wav",resemble.wav
14,"real.wav, elevenlabs.mp3, playht.wav, speaker_fixed1.wav, resemble.wav",real.wav
15,"elevenlabs.mp3, playht.wav, resemble.wav, real.wav, speaker_fixed1.wav",elevenlabs.mp3
16,"elevenlabs.mp3, resemble.wav, playht.wav, real.wav, speaker_fixed1.wav",elevenlabs.mp3


Most Chosen AI Voices
AI Choice,Times Picked
elevenlabs.mp3,8
resemble.wav,3
real.wav,3
playht.wav,2
