Ordered Speaker Choices
Speaker,AI Choices,Real Picked
1,"real.wav, playht.wav, elevenlabs.mp3, speaker_fixed1.wav, resemble.wav",real.wav
2,"real.wav, elevenlabs.mp3, playht.wav, speaker_fixed1.wav, resemble.wav",real.wav
3,"elevenlabs.mp3, playht.wav, resemble.wav, real.wav, speaker_fixed1.wav",elevenlabs.mp3
4,"elevenlabs.mp3, resemble.wav, real.wav, playht.wav, speaker_fixed1.wav",elevenlabs.mp3
5,"speaker_fixed1.wav, resemble.wav, real.wav, playht.wav, elevenlabs.mp3",speaker_fixed1.wav
6,"playht.wav, real.wav, speaker_fixed1.wav, resemble.wav, elevenlabs.mp3",playht.wav
7,"elevenlabs.mp3, playht.wav, real.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
8,"elevenlabs.mp3, resemble.wav, playht.wav, real.wav, speaker_fixed1.wav",elevenlabs.mp3
9,"elevenlabs.mp3, speaker_fixed1.wav, real.wav, resemble.wav, playht.wav",elevenlabs.mp3
10,"real.wav, speaker_fixed1.wav, playht.wav, elevenlabs.mp3, resemble.wav",real.wav
11,"playht.wav, real.wav, resemble.wav, speaker_fixed1.wav, elevenlabs.mp3",playht.wav
12,"elevenlabs.mp3, resemble.wav, playht.wav, real.wav, speaker_fixed1.wav",elevenlabs.mp3
13,"elevenlabs.mp3, real.wav, speaker_fixed1.wav, resemble.wav, playht.wav",elevenlabs.mp3
14,"real.wav, elevenlabs.mp3, speaker_fixed1.wav, playht.wav, resemble.wav",real.wav
15,"playht.wav, real.wav, elevenlabs.mp3, resemble.wav, speaker_fixed1.wav",playht.wav
16,"playht.wav, speaker_fixed1.wav, real.wav, resemble.wav, elevenlabs.mp3",playht.wav


Most Chosen AI Voices
AI Choice,Times Picked
elevenlabs.mp3,7
real.wav,4
playht.wav,4
speaker_fixed1.wav,1
