Ordered Speaker Choices
Speaker,AI Choices,Real Picked
1,"real.wav, playht.wav, resemble.wav, elevenlabs.mp3, speaker_fixed1.wav",real.wav
2,"playht.wav, real.wav, elevenlabs.mp3, speaker_fixed1.wav, resemble.wav",playht.wav
3,"real.wav, resemble.wav, playht.wav, speaker_fixed1.wav, elevenlabs.mp3",real.wav
4,"real.wav, elevenlabs.mp3, playht.wav, speaker_fixed1.wav, resemble.wav",real.wav
5,"elevenlabs.mp3, real.wav, resemble.wav, playht.wav, speaker_fixed1.wav",elevenlabs.mp3
6,"elevenlabs.mp3, real.wav, resemble.wav, speaker_fixed1.wav, playht.wav",elevenlabs.mp3
7,"elevenlabs.mp3, real.wav, playht.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
8,"elevenlabs.mp3, playht.wav, real.wav, speaker_fixed1.wav, resemble.wav",elevenlabs.mp3
9,"elevenlabs.mp3, playht.wav, real.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
10,"elevenlabs.mp3, playht.wav, real.wav, speaker_fixed1.wav, resemble.wav",elevenlabs.mp3
11,"real.wav, resemble.wav, playht.wav, elevenlabs.mp3, speaker_fixed1.wav",real.wav
12,"elevenlabs.mp3, playht.wav, resemble.wav, real.wav, speaker_fixed1.wav",elevenlabs.mp3
13,"real.wav, elevenlabs.mp3, playht.wav, resemble.wav, speaker_fixed1.wav",real.wav
14,"elevenlabs.mp3, resemble.wav, playht.wav, real.wav, speaker_fixed1.wav",elevenlabs.mp3
15,"playht.wav, speaker_fixed1.wav, real.wav, elevenlabs.mp3, resemble.wav",playht.wav
16,"real.wav, playht.wav, elevenlabs.mp3, speaker_fixed1.wav, resemble.wav",real.wav


Most Chosen AI Voices
AI Choice,Times Picked
elevenlabs.mp3,8
real.wav,6
playht.wav,2
