Ordered Speaker Choices
Speaker,AI Choices,Real Picked
1,"real.wav, playht.wav, elevenlabs.mp3, speaker_fixed1.wav, resemble.wav",real.wav
2,"playht.wav, real.wav, resemble.wav, elevenlabs.mp3, speaker_fixed1.wav",playht.wav
3,"speaker_fixed1.wav, playht.wav, real.wav, elevenlabs.mp3, resemble.wav",speaker_fixed1.wav
4,"elevenlabs.mp3, playht.wav, speaker_fixed1.wav, real.wav, resemble.wav",elevenlabs.mp3
5,"elevenlabs.mp3, playht.wav, resemble.wav, speaker_fixed1.wav, real.wav",elevenlabs.mp3
6,"real.wav, playht.wav, elevenlabs.mp3, speaker_fixed1.wav, resemble.wav",real.wav
7,"playht.wav, resemble.wav, elevenlabs.mp3, speaker_fixed1.wav, real.wav",playht.wav
8,"speaker_fixed1.wav, elevenlabs.mp3, playht.wav, real.wav, resemble.wav",speaker_fixed1.wav
9,"real.wav, playht.wav, speaker_fixed1.wav, elevenlabs.mp3, resemble.wav",real.wav
10,"elevenlabs.mp3, real.wav, playht.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
11,"playht.wav, speaker_fixed1.wav, elevenlabs.mp3, resemble.wav, real.wav",playht.wav
12,"playht.wav, real.wav, elevenlabs.mp3, resemble.wav, speaker_fixed1.wav",playht.wav
13,"playht.wav, real.wav, speaker_fixed1.wav, elevenlabs.mp3, resemble.wav",playht.wav
14,"elevenlabs.mp3, real.wav, playht.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
15,"playht.wav, elevenlabs.mp3, speaker_fixed1.wav, real.wav, resemble.wav",playht.wav
16,"elevenlabs.mp3, speaker_fixed1.wav, real.wav, playht.wav, resemble.wav",elevenlabs.mp3


Most Chosen AI Voices
AI Choice,Times Picked
playht.wav,6
elevenlabs.mp3,5
real.wav,3
speaker_fixed1.wav,2
