Ordered Speaker Choices
Speaker,AI Choices,Real Picked
1,"playht.wav, elevenlabs.mp3, real.wav, speaker_fixed1.wav, resemble.wav",playht.wav
2,"real.wav, elevenlabs.mp3, playht.wav, resemble.wav, speaker_fixed1.wav",real.wav
3,"elevenlabs.mp3, playht.wav, real.wav, speaker_fixed1.wav, resemble.wav",elevenlabs.mp3
4,"elevenlabs.mp3, playht.wav, speaker_fixed1.wav, real.wav, resemble.wav",elevenlabs.mp3
5,"speaker_fixed1.wav, resemble.wav, elevenlabs.mp3, real.wav, playht.wav",speaker_fixed1.wav
6,"real.wav, playht.wav, elevenlabs.mp3, speaker_fixed1.wav, resemble.wav",real.wav
7,"elevenlabs.mp3, real.wav, playht.wav, speaker_fixed1.wav, resemble.wav",elevenlabs.mp3
8,"elevenlabs.mp3, real.wav, playht.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
9,"elevenlabs.mp3,speaker_fixed1.wav, playht.wav, real.wav, resemble.wav",elevenlabs.mp3
10,"real.wav,playht.wav, elevenlabs.mp3, speaker_fixed1.wav, resemble.wav",real.wav
11,"real.wav, elevenlabs.mp3, speaker_fixed1.wav, playht.wav, resemble.wav",real.wav
12,"speaker_fixed1.wav, playht.wav, elevenlabs.mp3, real.wav, resemble.wav",speaker_fixed1.wav
13,"real.wav, speaker_fixed1.wav, elevenlabs.mp3, resemble.wav, playht.wav",real.wav
14,"elevenlabs.mp3, real.wav, playht.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
15,"playht.wav, real.wav, elevenlabs.mp3, speaker_fixed1.wav, resemble.wav",playht.wav
16,"real.wav, elevenlabs.mp3, speaker_fixed1.wav, playht.wav, resemble.wav",real.wav


Most Chosen AI Voices
AI Choice,Times Picked
real.wav,6
elevenlabs.mp3,6
playht.wav,2
speaker_fixed1.wav,2
