Ordered Speaker Choices
Speaker,AI Choices,Real Picked
1,"speaker_fixed1.wav, playht.wav, elevenlabs.mp3, real.wav, resemble.wav",speaker_fixed1.wav
2,"playht.wav, real.wav, speaker_fixed1.wav, elevenlabs.mp3, resemble.wav",playht.wav
3,"speaker_fixed1.wav, playht.wav, elevenlabs.mp3, real.wav, resemble.wav",speaker_fixed1.wav
4,"elevenlabs.mp3, real.wav, resemble.wav, playht.wav, speaker_fixed1.wav",elevenlabs.mp3
5,"elevenlabs.mp3, real.wav, playht.wav, speaker_fixed1.wav, resemble.wav",elevenlabs.mp3
6,"elevenlabs.mp3, speaker_fixed1.wav, real.wav, resemble.wav, playht.wav",elevenlabs.mp3
7,"elevenlabs.mp3, playht.wav, speaker_fixed1.wav, resemble.wav, real.wav",elevenlabs.mp3
8,"elevenlabs.mp3, speaker_fixed1.wav, playht.wav, real.wav, resemble.wav",elevenlabs.mp3
9,"elevenlabs.mp3, playht.wav, speaker_fixed1.wav, real.wav, resemble.wav",elevenlabs.mp3
10,"elevenlabs.mp3, real.wav, playht.wav, speaker_fixed1.wav, resemble.wav",elevenlabs.mp3
11,"speaker_fixed1.wav, resemble.wav, playht.wav, elevenlabs.mp3, real.wav",speaker_fixed1.wav
12,"elevenlabs.mp3, playht.wav, speaker_fixed1.wav, real.wav, resemble.wav",elevenlabs.mp3
13,"elevenlabs.mp3, real.wav, playht.wav, speaker_fixed1.wav, resemble.wav",elevenlabs.mp3
14,"elevenlabs.mp3, real.wav, playht.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
15,"playht.wav, elevenlabs.mp3, real.wav, resemble.wav, speaker_fixed1.wav",playht.wav
16,"playht.wav, real.wav, speaker_fixed1.wav, elevenlabs.mp3, resemble.wav",playht.wav


Most Chosen AI Voices
AI Choice,Times Picked
elevenlabs.mp3,10
speaker_fixed1.wav,3
playht.wav,3
